"Point","X","Y","Z"
"0","-127.8585","3.5011","0"
"1","-128.2449","3.5011","0"
"2","-128.6313","3.5011","0"
"3","-129.0178","3.5011","0"
"4","-129.4042","3.5011","0"
"5","-129.7906","3.5011","0"
"6","-130.177","3.5011","0"
"7","-130.5635","3.5011","0"
"8","-130.9499","3.5011","0"
"9","-131.3363","3.5011","0"
"10","-131.7227","3.5011","0"
"11","-132.1092","3.5011","0"
"12","-132.4956","3.5011","0"
"13","-132.882","3.5011","0"
"14","-133.2684","3.5011","0"
"15","-133.6549","3.5011","0"
"16","-134.0413","3.5011","0"
"17","-134.4277","3.5011","0"
"18","-134.8141","3.5011","0"
"19","-135.2006","3.5011","0"
"20","-135.587","3.5011","0"
"21","-135.9734","3.5011","0"
"22","-136.3598","3.5011","0"
"23","-136.7463","3.5011","0"
"24","-137.1327","3.5011","0"
"25","-137.5191","3.5011","0"
"26","-137.9055","3.5011","0"
"27","-138.292","3.5011","0"
"28","-138.6784","3.5011","0"
"29","-139.0648","3.5011","0"
"30","-139.4512","3.5011","0"
"31","-139.8377","3.5011","0"
"32","-140.2241","3.5011","0"
"33","-140.6105","3.5011","0"
"34","-140.9969","3.5011","0"
"35","-141.3834","3.5011","0"
"36","-141.7698","3.5011","0"
"37","-142.1562","3.5011","0"
"38","-142.5426","3.5011","0"
"39","-142.9291","3.5011","0"
"40","-143.3155","3.5011","0"
"41","-143.7019","3.5011","0"
"42","-144.0883","3.5011","0"
"43","-144.4748","3.5011","0"
"44","-144.8612","3.5011","0"
"45","-145.2476","3.5011","0"
"46","-145.634","3.5011","0"
"47","-146.0205","3.5011","0"
"48","-146.4069","3.5011","0"
"49","-146.7933","3.5011","0"
"50","-147.1797","3.5011","0"
"51","-147.5662","3.5011","0"
"52","-147.9526","3.5011","0"
"53","-148.339","3.5011","0"
"54","-148.7254","3.5011","0"
"55","-149.1118","3.5011","0"
"56","-149.4983","3.5011","0"
"57","-149.8847","3.5011","0"
"58","-150.2711","3.5011","0"
"59","-150.6575","3.5011","0"
"60","-151.044","3.5011","0"
"61","-151.4304","3.5011","0"
"62","-151.8168","3.5011","0"
"63","-152.2032","3.5011","0"
"64","-152.5897","3.5011","0"
"65","-152.9761","3.5011","0"
"66","-153.3625","3.5011","0"
"67","-153.7489","3.5011","0"
"68","-154.1354","3.5011","0"
"69","-154.5218","3.5011","0"
"70","-154.9082","3.5011","0"
"71","-155.2946","3.5011","0"
"72","-155.6811","3.5011","0"
"73","-156.0675","3.5011","0"
"74","-156.4539","3.5011","0"
"75","-156.7461","3.6375","0"
"76","-156.8826","3.999","0"
"77","-157.0192","4.3604","0"
"78","-157.1558","4.7219","0"
"79","-157.2924","5.0834","0"
"80","-157.429","5.4449","0"
"81","-157.5656","5.8064","0"
"82","-157.7022","6.1678","0"
"83","-157.8388","6.5293","0"
"84","-157.9754","6.8908","0"
"85","-158.112","7.2523","0"
"86","-158.2486","7.6137","0"
"87","-158.3852","7.9752","0"
"88","-158.5218","8.3367","0"
"89","-158.6584","8.6982","0"
"90","-158.795","9.0597","0"
"91","-158.9316","9.4211","0"
"92","-159.0682","9.7826","0"
"93","-159.2048","10.1441","0"
"94","-159.3414","10.5056","0"
"95","-159.478","10.867","0"
"96","-159.6145","11.2285","0"
"97","-159.7511","11.59","0"
"98","-159.8877","11.9515","0"
"99","-160.0243","12.3129","0"
"100","-160.1609","12.6744","0"
"101","-160.2975","13.0359","0"
"102","-160.4341","13.3974","0"
"103","-160.5707","13.7589","0"
"104","-160.7073","14.1203","0"
"105","-160.8439","14.4818","0"
"106","-160.9805","14.8433","0"
"107","-161.1171","15.2048","0"
"108","-161.2537","15.5662","0"
"109","-161.3903","15.9277","0"
"110","-161.5269","16.2892","0"
"111","-161.6635","16.6507","0"
"112","-161.8001","17.0121","0"
"113","-161.9367","17.3736","0"
"114","-162.0733","17.7351","0"
