"Point","X","Y","Z"
"0","-162.1236","0","0"
"1","-161.9412","-0.4665","0"
"2","-161.7588","-0.9331","0"
"3","-161.5764","-1.3996","0"
"4","-161.394","-1.8662","0"
"5","-161.2117","-2.3327","0"
"6","-161.0293","-2.7993","0"
"7","-160.8469","-3.2658","0"
"8","-160.6645","-3.7324","0"
"9","-160.4821","-4.1989","0"
"10","-160.2997","-4.6655","0"
"11","-160.1173","-5.132","0"
"12","-159.9349","-5.5986","0"
"13","-159.7525","-6.0651","0"
"14","-159.5701","-6.5317","0"
"15","-159.3878","-6.9982","0"
"16","-159.2054","-7.4648","0"
"17","-159.023","-7.9313","0"
"18","-158.8406","-8.3979","0"
"19","-158.6582","-8.8644","0"
"20","-158.4758","-9.331","0"
"21","-158.2934","-9.7975","0"
"22","-158.111","-10.264","0"
"23","-157.9286","-10.7306","0"
"24","-157.7462","-11.1971","0"
"25","-157.5639","-11.6637","0"
"26","-157.3815","-12.1302","0"
"27","-157.1991","-12.5968","0"
"28","-157.0167","-13.0633","0"
"29","-156.8343","-13.5299","0"
"30","-156.6519","-13.9964","0"
"31","-156.4695","-14.463","0"
"32","-156.2871","-14.9295","0"
"33","-156.1047","-15.3961","0"
"34","-155.9223","-15.8626","0"
"35","-155.74","-16.3292","0"
"36","-155.5576","-16.7957","0"
"37","-155.3752","-17.2623","0"
"38","-155.1928","-17.7288","0"
"39","-155.0104","-18.1954","0"
"40","-154.828","-18.6619","0"
"41","-154.6456","-19.1285","0"
"42","-154.4632","-19.595","0"
"43","-154.2808","-20.0615","0"
"44","-154.0985","-20.5281","0"
"45","-153.9161","-20.9946","0"
"46","-153.7337","-21.4612","0"
"47","-153.5513","-21.9277","0"
"48","-153.3689","-22.3943","0"
"49","-153.1865","-22.8608","0"
"50","-153.0041","-23.3274","0"
"51","-152.8217","-23.7939","0"
"52","-152.6393","-24.2605","0"
"53","-152.4569","-24.727","0"
"54","-152.2746","-25.1936","0"
"55","-152.0922","-25.6601","0"
"56","-151.9098","-26.1267","0"
"57","-151.7274","-26.5932","0"
"58","-151.545","-27.0598","0"
"59","-151.3626","-27.5263","0"
"60","-151.1802","-27.9929","0"
"61","-150.9978","-28.4594","0"
"62","-150.8154","-28.926","0"
"63","-150.633","-29.3925","0"
"64","-150.4507","-29.859","0"
"65","-150.2683","-30.3256","0"
"66","-150.0859","-30.7921","0"
"67","-149.9035","-31.2587","0"
"68","-149.7211","-31.7252","0"
"69","-149.5387","-32.1918","0"
"70","-149.3563","-32.6583","0"
"71","-149.1739","-33.1249","0"
"72","-148.9915","-33.5914","0"
"73","-148.8092","-34.058","0"
"74","-148.6268","-34.5245","0"
"75","-148.4444","-34.9911","0"
"76","-148.262","-35.4576","0"
"77","-148.0796","-35.9242","0"
"78","-147.8972","-36.3907","0"
"79","-147.7148","-36.8573","0"
"80","-147.5324","-37.3238","0"
"81","-147.35","-37.7904","0"
"82","-147.1676","-38.2569","0"
"83","-146.9853","-38.7234","0"
"84","-146.8029","-39.19","0"
"85","-146.6205","-39.6565","0"
"86","-146.4381","-40.1231","0"
"87","-146.2557","-40.5896","0"
"88","-146.0733","-41.0562","0"
"89","-145.8909","-41.5227","0"
"90","-145.7085","-41.9893","0"
"91","-145.5261","-42.4558","0"
"92","-145.3437","-42.9224","0"
"93","-145.1614","-43.3889","0"
"94","-144.979","-43.8555","0"
"95","-144.7966","-44.322","0"
"96","-144.6142","-44.7886","0"
"97","-144.4318","-45.2551","0"
"98","-144.2494","-45.7217","0"
"99","-144.067","-46.1882","0"
"100","-143.8846","-46.6548","0"
"101","-143.7022","-47.1213","0"
"102","-143.5198","-47.5879","0"
"103","-143.3375","-48.0544","0"
"104","-143.1551","-48.5209","0"
"105","-142.9727","-48.9875","0"
"106","-142.7903","-49.454","0"
"107","-142.6079","-49.9206","0"
"108","-142.4255","-50.3871","0"
"109","-142.2431","-50.8537","0"
"110","-142.0607","-51.3202","0"
"111","-141.8783","-51.7868","0"
"112","-141.696","-52.2533","0"
"113","-141.5136","-52.7199","0"
"114","-141.3312","-53.1864","0"
"115","-141.1488","-53.653","0"
"116","-140.9664","-54.1195","0"
"117","-140.784","-54.5861","0"
"118","-140.6016","-55.0526","0"
"119","-140.4192","-55.5192","0"
"120","-140.2368","-55.9857","0"
"121","-140.0544","-56.4523","0"
"122","-139.8721","-56.9188","0"
"123","-139.5054","-57.1154","0"
"124","-139.0044","-57.1154","0"
"125","-138.811","-56.6656","0"
"126","-138.6292","-56.1988","0"
"127","-138.4474","-55.7321","0"
"128","-138.2655","-55.2653","0"
"129","-138.0837","-54.7985","0"
"130","-137.9019","-54.3317","0"
"131","-137.7201","-53.865","0"
"132","-137.5383","-53.3982","0"
"133","-137.3565","-52.9314","0"
"134","-137.1747","-52.4647","0"
"135","-136.9928","-51.9979","0"
"136","-136.811","-51.5311","0"
"137","-136.6292","-51.0643","0"
"138","-136.4474","-50.5976","0"
"139","-136.2656","-50.1308","0"
"140","-136.0838","-49.664","0"
"141","-135.9019","-49.1973","0"
"142","-135.7201","-48.7305","0"
"143","-135.5383","-48.2637","0"
"144","-135.3565","-47.7969","0"
"145","-135.1747","-47.3302","0"
"146","-134.9929","-46.8634","0"
"147","-134.811","-46.3966","0"
"148","-134.6292","-45.9299","0"
"149","-134.4474","-45.4631","0"
"150","-134.2656","-44.9963","0"
"151","-134.0838","-44.5295","0"
"152","-133.902","-44.0628","0"
"153","-133.7201","-43.596","0"
"154","-133.5383","-43.1292","0"
"155","-133.3565","-42.6625","0"
"156","-133.1747","-42.1957","0"
"157","-132.9929","-41.7289","0"
"158","-132.8111","-41.2621","0"
"159","-132.6293","-40.7954","0"
"160","-132.4474","-40.3286","0"
"161","-132.2656","-39.8618","0"
"162","-132.0838","-39.3951","0"
"163","-131.902","-38.9283","0"
"164","-131.7202","-38.4615","0"
"165","-131.5384","-37.9947","0"
"166","-131.3565","-37.528","0"
"167","-131.1747","-37.0612","0"
"168","-130.9929","-36.5944","0"
"169","-130.8111","-36.1277","0"
"170","-130.6293","-35.6609","0"
"171","-130.4475","-35.1941","0"
"172","-130.2656","-34.7273","0"
"173","-130.0838","-34.2606","0"
"174","-129.902","-33.7938","0"
"175","-129.7202","-33.327","0"
"176","-129.5384","-32.8603","0"
"177","-129.3566","-32.3935","0"
"178","-129.1747","-31.9267","0"
"179","-128.9929","-31.4599","0"
"180","-128.8111","-30.9932","0"
"181","-128.6293","-30.5264","0"
"182","-128.4475","-30.0596","0"
"183","-128.2657","-29.5929","0"
"184","-128.0838","-29.1261","0"
"185","-127.902","-28.6593","0"
"186","-127.7202","-28.1925","0"
"187","-127.5384","-27.7258","0"
"188","-127.3566","-27.259","0"
"189","-127.1748","-26.7922","0"
"190","-126.993","-26.3255","0"
"191","-126.8111","-25.8587","0"
"192","-126.6293","-25.3919","0"
"193","-126.4475","-24.9251","0"
"194","-126.2657","-24.4584","0"
"195","-126.0839","-23.9916","0"
"196","-125.9021","-23.5248","0"
"197","-125.7202","-23.0581","0"
"198","-125.5384","-22.5913","0"
"199","-125.3566","-22.1245","0"
"200","-125.1748","-21.6577","0"
"201","-124.993","-21.191","0"
"202","-124.8112","-20.7242","0"
"203","-124.6293","-20.2574","0"
"204","-124.4475","-19.7907","0"
"205","-124.2657","-19.3239","0"
"206","-124.0839","-18.8571","0"
"207","-123.9021","-18.3903","0"
"208","-123.7203","-17.9236","0"
"209","-123.5384","-17.4568","0"
"210","-123.3566","-16.99","0"
"211","-123.1748","-16.5233","0"
"212","-122.993","-16.0565","0"
"213","-122.8112","-15.5897","0"
"214","-122.6294","-15.1229","0"
