"Point","X","Y","Z"
"0","0","-510.0404","0"
"1","-14.3751","-509.8407","0"
"2","-28.7391","-509.2451","0"
"3","-43.0811","-508.252","0"
"4","-57.3898","-506.8593","0"
"5","-71.6541","-505.0682","0"
"6","-85.8625","-502.8773","0"
"7","-100.0036","-500.2869","0"
"8","-114.0658","-497.2982","0"
"9","-128.0379","-493.9126","0"
"10","-141.9083","-490.1322","0"
"11","-155.6659","-485.9598","0"
"12","-169.2995","-481.3984","0"
"13","-182.7981","-476.4517","0"
"14","-196.1508","-471.1237","0"
"15","-209.3468","-465.4189","0"
"16","-222.3758","-459.3421","0"
"17","-235.2272","-452.8985","0"
"18","-247.8911","-446.0935","0"
"19","-260.3574","-438.9332","0"
"20","-272.6164","-431.4234","0"
"21","-284.6586","-423.5707","0"
"22","-296.4745","-415.3815","0"
"23","-308.055","-406.8628","0"
"24","-319.3912","-398.0214","0"
"25","-330.4742","-388.8647","0"
"26","-341.2955","-379.4","0"
"27","-351.8465","-369.6351","0"
"28","-362.119","-359.5775","0"
"29","-372.1049","-349.2354","0"
"30","-381.7964","-338.6167","0"
"31","-391.1856","-327.7299","0"
"32","-400.2651","-316.5834","0"
"33","-409.0269","-305.1854","0"
"34","-417.4629","-293.5443","0"
"35","-425.5676","-281.6702","0"
"36","-433.3342","-269.5722","0"
"37","-440.7562","-257.2599","0"
"38","-447.8274","-244.7428","0"
"39","-454.5417","-232.0307","0"
"40","-460.8935","-219.1337","0"
"41","-466.8772","-206.0618","0"
"42","-472.4879","-192.8255","0"
"43","-477.7208","-179.4354","0"
"44","-482.5715","-165.9022","0"
"45","-487.0362","-152.2367","0"
"46","-491.1114","-138.4501","0"
"47","-494.7941","-124.5535","0"
"48","-498.0819","-110.5581","0"
"49","-500.9726","-96.4754","0"
"50","-503.4651","-82.3167","0"
"51","-505.5584","-68.0935","0"
"52","-507.2491","-53.8168","0"
"53","-508.5387","-39.4984","0"
"54","-509.4309","-25.1497","0"
"55","-509.9254","-10.7819","0"
"56","-510.0246","3.5942","0"
"57","-509.8773","10.7809","0"
"58","-509.73","17.9676","0"
"59","-509.0373","32.3273","0"
"60","-507.943","46.662","0"
"61","-506.4513","60.9608","0"
"62","-504.5612","75.2124","0"
"63","-502.2713","89.4053","0"
"64","-499.5798","103.5275","0"
"65","-496.4899","117.568","0"
"66","-493.0041","131.5154","0"
"67","-489.1246","145.3584","0"
"68","-484.8541","159.0858","0"
"69","-480.1958","172.6866","0"
"70","-475.1535","186.1497","0"
"71","-469.7312","199.4643","0"
"72","-463.9335","212.6197","0"
"73","-457.7652","225.6056","0"
"74","-451.2316","238.4116","0"
"75","-444.3383","251.0276","0"
"76","-437.0912","263.4437","0"
"77","-429.4954","275.6497","0"
"78","-421.5574","287.636","0"
"79","-413.2847","299.3936","0"
"80","-404.684","310.9136","0"
"81","-395.7626","322.187","0"
"82","-386.5277","333.205","0"
"83","-376.9868","343.959","0"
"84","-367.1475","354.4407","0"
"85","-357.0176","364.6418","0"
"86","-346.6051","374.5544","0"
"87","-335.9182","384.1705","0"
"88","-324.9653","393.4824","0"
"89","-313.7549","402.4827","0"
"90","-302.2956","411.164","0"
"91","-290.5964","419.5192","0"
"92","-278.6664","427.5413","0"
"93","-266.5148","435.2237","0"
"94","-254.151","442.5599","0"
"95","-241.5846","449.5432","0"
"96","-228.8251","456.1672","0"
"97","-215.8831","462.4272","0"
"98","-202.769","468.318","0"
"99","-189.4932","473.8346","0"
"100","-176.0662","478.9724","0"
"101","-162.4988","483.7271","0"
"102","-148.802","488.0949","0"
"103","-134.9868","492.0726","0"
"104","-121.0644","495.6572","0"
"105","-107.0459","498.8453","0"
"106","-92.9427","501.6345","0"
"107","-78.7663","504.0247","0"
"108","-64.5284","506.0151","0"
"109","-50.2403","507.6056","0"
"110","-35.9135","508.7968","0"
"111","-21.5591","509.5901","0"
"112","-7.1882","509.9855","0"
"113","7.1882","509.9861","0"
"114","21.5591","509.5913","0"
"115","35.9137","508.8002","0"
"116","50.2408","507.6107","0"
"117","64.5287","506.0176","0"
"118","78.7663","504.0244","0"
"119","92.9422","501.632","0"
"120","107.045","498.8409","0"
"121","121.0633","495.6525","0"
"122","134.9856","492.0685","0"
"123","148.8008","488.0912","0"
"124","162.4976","483.7236","0"
"125","176.0649","478.9691","0"
"126","189.4918","473.8313","0"
"127","202.7675","468.3146","0"
"128","215.8814","462.4236","0"
"129","228.8231","456.1633","0"
"130","241.5823","449.539","0"
"131","254.149","442.5564","0"
"132","266.5133","435.2214","0"
"133","278.6656","427.5402","0"
"134","290.5965","419.5193","0"
"135","302.2966","411.1653","0"
"136","313.7568","402.4853","0"
"137","324.9683","393.4861","0"
"138","335.9208","384.1734","0"
"139","346.6071","374.5566","0"
"140","357.019","364.6434","0"
"141","367.1483","354.4416","0"
"142","376.987","343.9593","0"
"143","386.5273","333.2046","0"
"144","395.7616","322.1861","0"
"145","404.6823","310.9123","0"
"146","413.2822","299.3919","0"
