"Point","X","Y","Z"
"0","0","-159.1178","0"
"1","-1.7931","-159.0313","0"
"2","-3.5863","-158.9447","0"
"3","-5.3794","-158.8581","0"
"4","-7.1725","-158.7715","0"
"5","-8.9656","-158.6849","0"
"6","-10.7588","-158.5983","0"
"7","-12.5519","-158.5117","0"
"8","-14.3397","-158.3699","0"
"9","-16.1161","-158.1106","0"
"10","-17.8925","-157.8513","0"
"11","-19.6689","-157.5921","0"
"12","-21.4453","-157.3328","0"
"13","-23.2217","-157.0735","0"
"14","-24.9981","-156.8142","0"
"15","-26.7745","-156.5549","0"
"16","-28.5249","-156.1631","0"
"17","-30.2683","-155.7345","0"
"18","-32.0116","-155.306","0"
"19","-33.7549","-154.8774","0"
"20","-35.4982","-154.4489","0"
"21","-37.2415","-154.0204","0"
"22","-38.9849","-153.5918","0"
"23","-40.7107","-153.1043","0"
"24","-42.4053","-152.5118","0"
"25","-44.0999","-151.9194","0"
"26","-45.7946","-151.3269","0"
"27","-47.4892","-150.7345","0"
"28","-49.1839","-150.1421","0"
"29","-50.8785","-149.5496","0"
"30","-52.5717","-148.9536","0"
"31","-54.203","-148.2042","0"
"32","-55.8343","-147.4547","0"
"33","-57.4656","-146.7053","0"
"34","-59.0969","-145.9558","0"
"35","-60.7282","-145.2064","0"
"36","-62.3595","-144.457","0"
"37","-63.9908","-143.7075","0"
"38","-65.5644","-142.8464","0"
"39","-67.1187","-141.9481","0"
"40","-68.6729","-141.0497","0"
"41","-70.2272","-140.1514","0"
"42","-71.7815","-139.253","0"
"43","-73.3358","-138.3547","0"
"44","-74.89","-137.4563","0"
"45","-76.3974","-136.4849","0"
"46","-77.8619","-135.4466","0"
"47","-79.3264","-134.4083","0"
"48","-80.7909","-133.3699","0"
"49","-82.2554","-132.3316","0"
"50","-83.7199","-131.2933","0"
"51","-85.1843","-130.255","0"
"52","-86.6158","-129.1744","0"
"53","-87.9786","-128.0058","0"
"54","-89.3414","-126.8372","0"
"55","-90.7042","-125.6686","0"
"56","-92.0669","-124.5","0"
"57","-93.4297","-123.3314","0"
"58","-94.7925","-122.1627","0"
"59","-96.1391","-120.977","0"
"60","-97.389","-119.6883","0"
"61","-98.6388","-118.3996","0"
"62","-99.8886","-117.1109","0"
"63","-101.1385","-115.8222","0"
"64","-102.3883","-114.5335","0"
"65","-103.6381","-113.2448","0"
"66","-104.888","-111.9562","0"
"67","-106.0185","-110.562","0"
"68","-107.1448","-109.164","0"
"69","-108.2711","-107.7661","0"
"70","-109.3974","-106.3681","0"
"71","-110.5237","-104.9702","0"
"72","-111.65","-103.5722","0"
"73","-112.7763","-102.1742","0"
"74","-113.7984","-100.7","0"
"75","-114.7911","-99.2042","0"
"76","-115.7838","-97.7084","0"
"77","-116.7765","-96.2126","0"
"78","-117.7692","-94.7169","0"
"79","-118.7619","-93.2211","0"
"80","-119.7546","-91.7253","0"
"81","-120.6652","-90.1804","0"
"82","-121.5149","-88.599","0"
"83","-122.3645","-87.0176","0"
"84","-123.2142","-85.4362","0"
"85","-124.0639","-83.8547","0"
"86","-124.9136","-82.2733","0"
"87","-125.7632","-80.6919","0"
"88","-126.5624","-79.0864","0"
"89","-127.2604","-77.4324","0"
"90","-127.9583","-75.7784","0"
"91","-128.6563","-74.1244","0"
"92","-129.3542","-72.4704","0"
"93","-130.0522","-70.8164","0"
"94","-130.7501","-69.1624","0"
"95","-131.4416","-67.5061","0"
"96","-131.9801","-65.7935","0"
"97","-132.5186","-64.081","0"
"98","-133.0571","-62.3684","0"
"99","-133.5956","-60.6559","0"
"100","-134.1341","-58.9433","0"
"101","-134.6726","-57.2308","0"
"102","-135.2111","-55.5182","0"
"103","-135.6373","-53.7762","0"
"104","-136.0099","-52.02","0"
"105","-136.3825","-50.2639","0"
"106","-136.7552","-48.5078","0"
"107","-137.1278","-46.7517","0"
"108","-137.5004","-44.9956","0"
"109","-137.873","-43.2394","0"
"110","-138.2146","-41.478","0"
"111","-138.4454","-39.6977","0"
"112","-138.6762","-37.9174","0"
"113","-138.9071","-36.1371","0"
"114","-139.1379","-34.3568","0"
"115","-139.3427","-32.5741","0"
