"Point","X","Y","Z"
"0","-91.7325","22.2931","0"
"1","-92.0376","22.2799","0"
"2","-92.3427","22.2667","0"
"3","-92.6479","22.2535","0"
"4","-92.953","22.2403","0"
"5","-93.2581","22.2271","0"
"6","-93.5632","22.2139","0"
"7","-93.8684","22.2007","0"
"8","-94.1735","22.1875","0"
"9","-94.4786","22.1743","0"
"10","-94.7837","22.1611","0"
"11","-95.0881","22.1392","0"
"12","-95.3908","22.0987","0"
"13","-95.6935","22.0581","0"
"14","-95.9962","22.0176","0"
"15","-96.2989","21.977","0"
"16","-96.6016","21.9364","0"
"17","-96.9043","21.8959","0"
"18","-97.207","21.8553","0"
"19","-97.5097","21.8147","0"
"20","-97.8112","21.7675","0"
"21","-98.1091","21.7","0"
"22","-98.4069","21.6326","0"
"23","-98.7048","21.5651","0"
"24","-99.0027","21.4977","0"
"25","-99.3005","21.4302","0"
"26","-99.5984","21.3628","0"
"27","-99.8963","21.2953","0"
"28","-100.19","21.2127","0"
"29","-100.4804","21.1183","0"
"30","-100.7708","21.0238","0"
"31","-101.0613","20.9293","0"
"32","-101.3517","20.8349","0"
"33","-101.6421","20.7404","0"
"34","-101.9326","20.6459","0"
"35","-102.2214","20.5473","0"
"36","-102.5019","20.4265","0"
"37","-102.7825","20.3058","0"
"38","-103.063","20.1851","0"
"39","-103.3435","20.0643","0"
"40","-103.6241","19.9436","0"
"41","-103.9046","19.8228","0"
"42","-104.1771","19.6852","0"
"43","-104.4484","19.545","0"
"44","-104.7198","19.4048","0"
"45","-104.9885","19.2599","0"
"46","-105.2521","19.1057","0"
"47","-105.5157","18.9514","0"
"48","-105.7793","18.7972","0"
"49","-106.033","18.6273","0"
"50","-106.2845","18.4541","0"
"51","-106.536","18.2809","0"
"52","-106.7876","18.1076","0"
"53","-107.0391","17.9344","0"
"54","-107.2906","17.7611","0"
"55","-107.5421","17.5879","0"
"56","-107.7778","17.3939","0"
"57","-108.0116","17.1973","0"
"58","-108.2453","17.0007","0"
"59","-108.479","16.8041","0"
"60","-108.7127","16.6075","0"
"61","-108.9464","16.4109","0"
"62","-109.1795","16.2137","0"
"63","-109.393","15.9953","0"
"64","-109.6065","15.7769","0"
"65","-109.82","15.5585","0"
"66","-110.0335","15.3401","0"
"67","-110.2469","15.1217","0"
"68","-110.4604","14.9033","0"
"69","-110.6699","14.6813","0"
"70","-110.8613","14.4433","0"
"71","-111.0526","14.2053","0"
"72","-111.244","13.9673","0"
"73","-111.4354","13.7293","0"
"74","-111.6268","13.4912","0"
"75","-111.8181","13.2532","0"
"76","-112.003","13.0105","0"
"77","-112.1711","12.7555","0"
"78","-112.3392","12.5005","0"
"79","-112.5072","12.2455","0"
"80","-112.6753","11.9905","0"
"81","-112.8434","11.7355","0"
"82","-113.0115","11.4805","0"
"83","-113.1745","11.2224","0"
"84","-113.3233","10.9557","0"
"85","-113.4721","10.689","0"
"86","-113.6209","10.4223","0"
"87","-113.7697","10.1556","0"
"88","-113.9069","9.8828","0"
"89","-114.0409","9.6083","0"
"90","-114.1748","9.3339","0"
"91","-114.3088","9.0594","0"
"92","-114.4376","8.7827","0"
"93","-114.5487","8.4982","0"
"94","-114.6598","8.2137","0"
"95","-114.7708","7.9292","0"
"96","-114.8819","7.6447","0"
"97","-114.993","7.3603","0"
"98","-115.1041","7.0758","0"
"99","-115.2151","6.7913","0"
"100","-115.3262","6.5068","0"
"101","-115.4268","6.2187","0"
"102","-115.5109","5.9251","0"
"103","-115.5949","5.6315","0"
"104","-115.6789","5.3379","0"
"105","-115.763","5.0443","0"
"106","-115.847","4.7506","0"
"107","-115.931","4.457","0"
"108","-116.0151","4.1634","0"
"109","-116.0991","3.8698","0"
"110","-116.1831","3.5762","0"
"111","-116.264","3.2818","0"
"112","-116.3202","2.9816","0"
"113","-116.3765","2.6814","0"
"114","-116.4328","2.3813","0"
"115","-116.4891","2.0811","0"
"116","-116.5454","1.7809","0"
"117","-116.6017","1.4807","0"
"118","-116.6579","1.1805","0"
"119","-116.7142","0.8804","0"
"120","-116.7705","0.5802","0"
"121","-116.8268","0.28","0"
"122","-116.8831","-0.0202","0"
"123","-116.9352","-0.3209","0"
"124","-116.9663","-0.6248","0"
"125","-116.9975","-0.9286","0"
"126","-117.0287","-1.2324","0"
"127","-117.0598","-1.5362","0"
"128","-117.091","-1.84","0"
"129","-117.1222","-2.1438","0"
"130","-117.1533","-2.4476","0"
"131","-117.1845","-2.7515","0"
"132","-117.2157","-3.0553","0"
"133","-117.2469","-3.3591","0"
"134","-117.278","-3.6629","0"
"135","-117.2958","-3.9676","0"
"136","-117.3056","-4.2729","0"
"137","-117.3153","-4.5781","0"
"138","-117.3251","-4.8834","0"
"139","-117.3349","-5.1886","0"
"140","-117.3447","-5.4939","0"
"141","-117.3545","-5.7991","0"
"142","-117.3643","-6.1044","0"
"143","-117.3741","-6.4096","0"
"144","-117.3838","-6.7149","0"
"145","-117.3936","-7.0201","0"
"146","-117.4034","-7.3254","0"
"147","-117.4043","-7.6306","0"
"148","-117.3906","-7.9357","0"
"149","-117.3769","-8.2408","0"
"150","-117.3632","-8.5459","0"
"151","-117.3495","-8.851","0"
"152","-117.3358","-9.1561","0"
"153","-117.3221","-9.4612","0"
"154","-117.3084","-9.7663","0"
"155","-117.2947","-10.0714","0"
"156","-117.2811","-10.3765","0"
"157","-117.2674","-10.6816","0"
"158","-117.2537","-10.9867","0"
"159","-117.24","-11.2918","0"
"160","-117.2263","-11.5969","0"
"161","-117.2126","-11.902","0"
"162","-117.1989","-12.2071","0"
"163","-117.1852","-12.5122","0"
"164","-117.1651","-12.8167","0"
"165","-117.1224","-13.1191","0"
"166","-117.0798","-13.4215","0"
"167","-117.0372","-13.724","0"
"168","-116.9946","-14.0264","0"
"169","-116.9519","-14.3288","0"
"170","-116.9093","-14.6312","0"
"171","-116.8667","-14.9336","0"
