"Point","X","Y","Z"
"0","-61.845","1.0995","0"
"1","-62.3228","1.0788","0"
"2","-62.8007","1.0582","0"
"3","-63.2785","1.0376","0"
"4","-63.7564","1.0169","0"
"5","-64.2342","0.9963","0"
"6","-64.7121","0.9757","0"
"7","-65.1874","0.9261","0"
"8","-65.6615","0.8631","0"
"9","-66.1356","0.8001","0"
"10","-66.6097","0.7372","0"
"11","-67.0838","0.6742","0"
"12","-67.5558","0.599","0"
"13","-68.022","0.4924","0"
"14","-68.4883","0.3859","0"
"15","-68.9546","0.2794","0"
"16","-69.4208","0.1728","0"
"17","-69.8859","0.0618","0"
"18","-70.34","-0.0882","0"
"19","-70.7942","-0.2381","0"
"20","-71.2484","-0.3881","0"
"21","-71.7025","-0.5381","0"
"22","-72.147","-0.7137","0"
"23","-72.5862","-0.9029","0"
"24","-73.0255","-1.0922","0"
"25","-73.4647","-1.2815","0"
"26","-73.889","-1.5016","0"
"27","-74.3106","-1.7275","0"
"28","-74.7322","-1.9534","0"
"29","-75.1519","-2.1824","0"
"30","-75.5522","-2.4442","0"
"31","-75.9525","-2.706","0"
"32","-76.3528","-2.9677","0"
"33","-76.7439","-3.2423","0"
"34","-77.1193","-3.5386","0"
"35","-77.4947","-3.835","0"
"36","-77.8701","-4.1314","0"
"37","-78.2266","-4.4496","0"
"38","-78.574","-4.7784","0"
"39","-78.9213","-5.1072","0"
"40","-79.2687","-5.436","0"
"41","-79.5864","-5.7935","0"
"42","-79.9033","-6.1517","0"
"43","-80.2202","-6.5099","0"
"44","-80.5288","-6.8748","0"
"45","-80.8113","-7.2607","0"
"46","-81.0938","-7.6467","0"
"47","-81.3763","-8.0326","0"
"48","-81.6588","-8.4186","0"
"49","-81.91","-8.8254","0"
"50","-82.1574","-9.2347","0"
"51","-82.4047","-9.6441","0"
"52","-82.6521","-10.0535","0"
"53","-82.8673","-10.4806","0"
"54","-83.082","-10.9079","0"
"55","-83.2968","-11.3353","0"
"56","-83.5115","-11.7627","0"
"57","-83.6895","-12.2065","0"
"58","-83.866","-12.6511","0"
"59","-84.0424","-13.0956","0"
"60","-84.2189","-13.5402","0"
"61","-84.3856","-13.9881","0"
"62","-84.522","-14.4465","0"
"63","-84.6584","-14.9049","0"
"64","-84.7948","-15.3634","0"
"65","-84.9312","-15.8218","0"
"66","-85.0676","-16.2802","0"
"67","-85.1762","-16.7455","0"
"68","-85.2697","-17.2146","0"
"69","-85.3632","-17.6837","0"
"70","-85.4567","-18.1527","0"
"71","-85.5502","-18.6218","0"
"72","-85.6437","-19.0908","0"
"73","-85.7371","-19.5599","0"
"74","-85.817","-20.0311","0"
"75","-85.8689","-20.5065","0"
"76","-85.9209","-20.982","0"
"77","-85.9728","-21.4574","0"
"78","-86.0247","-21.9329","0"
"79","-86.0766","-22.4084","0"
"80","-86.1285","-22.8838","0"
"81","-86.1804","-23.3593","0"
"82","-86.2173","-23.8358","0"
"83","-86.2333","-24.3138","0"
"84","-86.2493","-24.7919","0"
"85","-86.2653","-25.2699","0"
"86","-86.2813","-25.7479","0"
"87","-86.2973","-26.2259","0"
"88","-86.3133","-26.7039","0"
"89","-86.3293","-27.182","0"
"90","-86.3453","-27.66","0"
"91","-86.3296","-28.1378","0"
"92","-86.3091","-28.6157","0"
"93","-86.2887","-29.0935","0"
"94","-86.2682","-29.5714","0"
"95","-86.2478","-30.0492","0"
"96","-86.2273","-30.5271","0"
"97","-86.2068","-31.0049","0"
"98","-86.1864","-31.4828","0"
"99","-86.1659","-31.9606","0"
"100","-86.1454","-32.4385","0"
"101","-86.1234","-32.9162","0"
"102","-86.059","-33.3901","0"
"103","-85.9946","-33.8641","0"
"104","-85.9302","-34.338","0"
"105","-85.8658","-34.8119","0"
"106","-85.8014","-35.2859","0"
"107","-85.7371","-35.7598","0"
"108","-85.6727","-36.2337","0"
"109","-85.6083","-36.7077","0"
"110","-85.5173","-37.1767","0"
"111","-85.4091","-37.6426","0"
"112","-85.3009","-38.1085","0"
"113","-85.1927","-38.5744","0"
"114","-85.0845","-39.0403","0"
"115","-84.9763","-39.5062","0"
"116","-84.8633","-39.9707","0"
"117","-84.7169","-40.426","0"
"118","-84.5705","-40.8814","0"
"119","-84.4241","-41.3367","0"
"120","-84.2777","-41.792","0"
"121","-84.1021","-42.2367","0"
"122","-83.9216","-42.6797","0"
"123","-83.7411","-43.1226","0"
"124","-83.5606","-43.5655","0"
"125","-83.3499","-43.9945","0"
"126","-83.1305","-44.4195","0"
"127","-82.9112","-44.8445","0"
"128","-82.6918","-45.2696","0"
"129","-82.4725","-45.6946","0"
"130","-82.2283","-46.1052","0"
"131","-81.9692","-46.5073","0"
"132","-81.7101","-46.9093","0"
"133","-81.451","-47.3114","0"
"134","-81.1844","-47.708","0"
"135","-80.888","-48.0833","0"
"136","-80.5916","-48.4587","0"
"137","-80.2952","-48.8341","0"
"138","-79.9988","-49.2095","0"
"139","-79.6722","-49.5587","0"
"140","-79.342","-49.9047","0"
"141","-79.0118","-50.2507","0"
"142","-78.6765","-50.5913","0"
"143","-78.3168","-50.9066","0"
"144","-77.9571","-51.2218","0"
"145","-77.5973","-51.537","0"
"146","-77.2265","-51.8385","0"
"147","-76.8437","-52.1252","0"
"148","-76.4608","-52.4119","0"
"149","-76.0619","-52.6755","0"
"150","-75.66","-52.9347","0"
"151","-75.2581","-53.194","0"
"152","-74.8425","-53.4299","0"
"153","-74.4195","-53.6532","0"
"154","-73.9965","-53.8765","0"
"155","-73.5736","-54.0998","0"
"156","-73.1437","-54.3083","0"
"157","-72.7011","-54.4897","0"
"158","-72.2586","-54.671","0"
"159","-71.816","-54.8524","0"
"160","-71.3734","-55.0338","0"
"161","-70.9162","-55.1741","0"
"162","-70.4588","-55.3137","0"
"163","-70.0013","-55.4533","0"
"164","-69.5439","-55.5929","0"
"165","-69.0809","-55.711","0"
"166","-68.6125","-55.8076","0"
"167","-68.1441","-55.9042","0"
"168","-67.6756","-56.0008","0"
"169","-67.2072","-56.0974","0"
"170","-66.7369","-56.1828","0"
"171","-66.262","-56.2388","0"
"172","-65.787","-56.2948","0"
"173","-65.312","-56.3509","0"
"174","-64.837","-56.4069","0"
"175","-64.3607","-56.4465","0"
"176","-63.8828","-56.465","0"
"177","-63.4048","-56.4836","0"
"178","-62.9269","-56.5021","0"
"179","-62.449","-56.5206","0"
"180","-61.9711","-56.5391","0"
"181","-61.4932","-56.5288","0"
"182","-61.0154","-56.5081","0"
"183","-60.5375","-56.4875","0"
"184","-60.0597","-56.4668","0"
"185","-59.5818","-56.4462","0"
"186","-59.104","-56.4255","0"
"187","-58.6277","-56.3875","0"
"188","-58.1536","-56.3239","0"
"189","-57.6796","-56.2604","0"
"190","-57.2055","-56.1968","0"
"191","-56.7315","-56.1333","0"
"192","-56.2575","-56.0697","0"
"193","-55.7886","-55.9768","0"
"194","-55.3212","-55.8751","0"
"195","-54.8538","-55.7735","0"
"196","-54.3865","-55.6718","0"
"197","-53.927","-55.5394","0"
"198","-53.4686","-55.4029","0"
"199","-53.0102","-55.2665","0"
"200","-52.5518","-55.1301","0"
"201","-52.1028","-54.9663","0"
"202","-51.6576","-54.7916","0"
"203","-51.2123","-54.6169","0"
"204","-50.7671","-54.4422","0"
"205","-50.3271","-54.2557","0"
"206","-49.8998","-54.0408","0"
"207","-49.4725","-53.8259","0"
"208","-49.0452","-53.611","0"
"209","-48.6181","-53.3959","0"
"210","-48.2126","-53.1423","0"
"211","-47.807","-52.8887","0"
"212","-47.4015","-52.6351","0"
"213","-46.9992","-52.3767","0"
"214","-46.6139","-52.0934","0"
"215","-46.2285","-51.8101","0"
