"Point","X","Y","Z"
"0","-110.403","-36.1079","0"
"1","-110.0949","-36.1079","0"
"2","-109.7868","-36.1079","0"
"3","-109.4786","-36.1079","0"
"4","-109.1705","-36.1079","0"
"5","-108.8624","-36.1079","0"
"6","-108.5543","-36.1079","0"
"7","-108.2462","-36.1079","0"
"8","-107.938","-36.1079","0"
"9","-107.6299","-36.1079","0"
"10","-107.3218","-36.1079","0"
"11","-107.0137","-36.1079","0"
"12","-106.7056","-36.1079","0"
"13","-106.3975","-36.1079","0"
"14","-106.0893","-36.1079","0"
"15","-105.7812","-36.1079","0"
"16","-105.4731","-36.1079","0"
"17","-105.165","-36.1079","0"
"18","-104.8569","-36.1079","0"
"19","-104.5487","-36.1079","0"
"20","-104.2406","-36.1079","0"
"21","-103.9325","-36.1079","0"
"22","-103.6244","-36.1079","0"
"23","-103.3163","-36.1079","0"
"24","-103.0081","-36.1079","0"
"25","-102.7","-36.1079","0"
"26","-102.3919","-36.1079","0"
"27","-102.0838","-36.1079","0"
"28","-101.7757","-36.1079","0"
"29","-101.4675","-36.1079","0"
"30","-101.1594","-36.1079","0"
"31","-100.8513","-36.1079","0"
"32","-100.5432","-36.1079","0"
"33","-100.2351","-36.1079","0"
"34","-99.927","-36.1079","0"
"35","-99.6188","-36.1079","0"
"36","-99.3107","-36.1079","0"
"37","-99.0026","-36.1079","0"
"38","-98.6945","-36.1079","0"
"39","-98.3864","-36.1079","0"
"40","-98.0782","-36.1079","0"
"41","-97.7701","-36.1079","0"
"42","-97.462","-36.1079","0"
"43","-97.1539","-36.1079","0"
"44","-96.8458","-36.1079","0"
"45","-96.5376","-36.1079","0"
"46","-96.2295","-36.1079","0"
"47","-95.9214","-36.1079","0"
"48","-95.6133","-36.1079","0"
"49","-95.3052","-36.1079","0"
"50","-94.997","-36.1079","0"
"51","-94.6889","-36.1079","0"
"52","-94.3808","-36.1079","0"
"53","-94.0727","-36.1079","0"
"54","-93.7646","-36.1079","0"
"55","-93.4565","-36.1072","0"
"56","-93.1486","-36.0941","0"
"57","-92.8408","-36.081","0"
"58","-92.5329","-36.0679","0"
"59","-92.2251","-36.0548","0"
"60","-91.9173","-36.0417","0"
"61","-91.6094","-36.0285","0"
"62","-91.3016","-36.0154","0"
"63","-90.9937","-36.0023","0"
"64","-90.6859","-35.9892","0"
"65","-90.3781","-35.9761","0"
"66","-90.0702","-35.963","0"
"67","-89.7624","-35.9499","0"
"68","-89.4565","-35.9148","0"
"69","-89.1511","-35.874","0"
"70","-88.8457","-35.8332","0"
"71","-88.5403","-35.7924","0"
"72","-88.2349","-35.7515","0"
"73","-87.9295","-35.7107","0"
"74","-87.6241","-35.6699","0"
"75","-87.3187","-35.6291","0"
"76","-87.0132","-35.5883","0"
"77","-86.7078","-35.5474","0"
"78","-86.4044","-35.496","0"
"79","-86.1041","-35.4271","0"
